Sort,Year,ID,Freq,Sex,CalvingGround,BirthDate,CaptureDate,LastActive ,EstAgeatCapture,MinDaysAlive,Day0Status,Day0Lat,Day0Long,Day1Status,Day1Lat,Day1Long,Day2Status,Day2Lat,Day2Long,Day3Status,Day3Lat,Day3Long,Day4Status,Day4Lat,Day4Long,Day5Status,Day5Lat,Day5Long,Day6Status,Day6Lat,Day6Long,Day7Status,Day7Lat,Day7Long,FATE
51,2011,2011071,0.259,f,Kemuk,5/22/11,5/22/11,8/7/11,0,77,1,59.1845,-157.954,,,,,,,,,,,,,,,,,,,,,,
90,2012,2012101,2.61,m,Kemuk,5/19/12,5/19/12,7/7/12,0,49,1,59.34653,-157.8472,1,59.34653,-157.8472,,,,1,59.3327,-157.84284,,,,,,,,,,,,,
97,2012,2012108,2.4,f,Kemuk,5/19/12,5/19/12,5/20/12,0,1,1,59.59192,-157.50987,1,59.58186,-157.50032,0,59.5849,-157.4901,,,,,,,,,,,,,,,,STARVED; CAPTURE RELATED?
101,2012,2012112,2.19,f,Kemuk,5/19/12,5/19/12,7/7/12,0,49,1,59.972,-157.547,1,59.97201,-157.547,,,,1,59.97536,-157.48018,1,59.95605,-157.47866,,,,,,,,,,
102,2012,2012113,2.6,f,Kemuk,5/19/12,5/19/12,6/8/12,0,20,1,59.97691,-157.58838,1,59.99229,-157.58847,,,,,,,1,59.9793,-157.44406,,,,,,,,,,
104,2012,2012115,2.59,f,Kemuk,5/19/12,5/19/12,7/19/12,0,61,1,59.6316,-157.32692,1,59.62489,-157.37318,,,,1,59.63447,-157.3851,1,59.62102,-157.4026,,,,,,,,,,
105,2012,2012116,2.8,m,Kemuk,5/19/12,5/19/12,5/19/12,0,0,1,59.61098,-157.32581,0,59.58205,-157.32186,,,,,,,,,,,,,,,,,,,UNK CAUSE; COW HESITANT TO REUNITE; CAPTURE RELATED?
113,2012,2012124,2.1,f,Kemuk,5/20/12,5/20/12,5/21/12,0,1,1,59.9275,-157.64088,1,,,0,59.92203,-157.63345,,,,,,,,,,,,,,,,TRAUMA/STOMPED?
115,2012,2012126,2.66,f,Kemuk,5/20/12,5/20/12,5/27/12,0,7,1,59.93432,-157.62015,,,,1,59.95786,-157.66154,,,,1,59.98249,-157.66235,,,,,,,,,,
117,2012,2012128,2.98,f,Kemuk,5/20/12,5/20/12,6/29/12,0,40,1,60.08862,-157.71817,,,,1,60.09481,-157.69945,,,,1,60.05598,-157.6916,,,,,,,,,,
