BY,ANNUM,Sex,SexCode,Weight,CG,CGcode,CaptLat,CaptLong,Reunite,EstAgeAtCap,DOB,DOC,LastAct,MinDaysAlive FromBirth,MinDaysAlive FromCapture,Fate,FateCode,LastLat,LastLong,COD,Comments,,
2011,2011021,f,0,8.00,Kemuk,0,59.3453,-157.8860,yes,1,05/17/11,05/18/11,05/19/11,2,1,mort,1,59.3503,-157.8493,bear,,,
2011,2011022,f,0,7.50,Kemuk,0,59.4445,-157.6555,yes,1,05/17/11,05/18/11,10/19/11,155,154,unk,0,,,,,,
2011,2011023,m,1,7.00,Kemuk,0,59.4693,-157.6802,yes,1,05/17/11,05/18/11,09/28/11,134,133,unk,0,,,,,,
2011,2011024,f,0,7.50,Kemuk,0,59.4460,-157.7323,yes,1,05/17/11,05/18/11,06/16/11,30,29,unk,0,,,,,,
2011,2011025,f,0,9.50,Kemuk,0,59.5993,-157.6397,yes,2,05/16/11,05/18/11,09/28/11,135,133,unk,0,,,,,,
2011,2011026,m,1,,Kemuk,0,59.6617,-157.6427,yes,2,05/16/11,05/18/11,10/19/11,156,154,unk,0,,,,,,
2011,2011027,f,0,8.50,Kemuk,0,59.8307,-157.6160,yes,1,05/17/11,05/18/11,05/19/11,2,1,mort,1,59.8288,-157.6350,starvation,,,
2011,2011028,m,1,10.00,Kemuk,0,59.9197,-157.5312,yes,2,05/16/11,05/18/11,09/28/11,135,133,unk,0,,,,,,
2011,2011029,unk,2,,Kemuk,0,59.8965,-157.5445,yes,2,05/16/11,05/18/11,10/19/11,156,154,unk,0,,,,,,
2011,2011030,f,0,8.00,Kemuk,0,59.6928,-157.7775,no,1,05/17/11,05/18/11,10/19/11,155,154,unk,0,,,,looking that way,,
2011,2011031,f,0,9.00,Kemuk,0,59.3460,-157.9705,yes,1,05/18/11,05/19/11,04/02/12,320,319,unk,0,,,,,,
2011,2011032,f,0,8.50,Kemuk,0,59.4038,-157.9328,yes,1,05/18/11,05/19/11,10/18/11,153,152,unk,0,,,,,,
2011,2011033,f,0,7.50,Kemuk,0,59.4430,-157.9063,returning,1,05/18/11,05/19/11,07/01/11,44,43,unk,0,,,,*headed back toward calf,,
2011,2011034,m,1,8.75,Kemuk,0,59.5428,-157.7245,yes,1,05/18/11,05/19/11,05/20/11,2,1,mort,1,59.5453,-157.7140,unk pred,returning,,
2011,2011035,f,0,7.50,Kemuk,0,59.6293,-157.5533,searching,1,05/18/11,05/19/11,10/18/11,153,152,unk,0,,,,*looking towards calf 40 yds away,,
2011,2011036,unk,2,8.50,Kemuk,0,59.5847,-157.5418,yes,2,05/17/11,05/19/11,05/20/11,3,1,mort,1,59.5522,-157.5215,bear,searching,,
2011,2011037,f,0,8.00,Kemuk,0,59.5865,-157.2940,no,2,05/17/11,05/19/11,05/30/11,13,11,mort,1,59.6063,-157.3178,unk pred,,,
2011,2011038,f,0,7.00,Kemuk,0,60.0075,-157.6105,yes,1,05/18/11,05/19/11,05/25/12,373,372,unk,0,,,,,,
2011,2011039,f,0,8.00,Kemuk,0,59.8875,-157.4903,yes,1,05/18/11,05/19/11,09/28/11,133,132,unk,0,,,,,,
2011,2011040,m,1,9.00,Kemuk,0,59.8875,-157.4903,yes,2,05/17/11,05/19/11,07/01/11,45,43,unk,0,,,,,,
2011,2011041,m,1,7.50,Kemuk,0,59.4917,-157.8922,yes,1,05/18/11,05/19/11,09/28/11,133,132,unk,0,,,,,,
2011,2011042,m,1,8.00,Tundra,1,61.1643,-155.9025,yes,1,05/19/11,05/20/11,05/20/11,1,0,unk,0,61.1617,-155.9080,,slipped collar,,
2011,2011043,f,0,12.00,Tundra,1,61.2908,-155.7222,yes,3,05/17/11,05/20/11,07/01/11,45,42,unk,0,,,,,,
2011,2011044,m,1,7.00,Tundra,1,61.2825,-155.9207,yes,1,05/19/11,05/20/11,05/22/11,3,2,mort,1,61.2955,-155.9780,bear,,,
2011,2011045,f,0,7.00,Tundra,1,61.3242,-156.0338,yes,1,05/19/11,05/20/11,05/20/11,1,0,unk,0,61.3378,-156.0670,,,,
2011,2011046,m,1,7.00,Tundra,1,61.3308,-156.1845,no,1,05/19/11,05/20/11,05/20/11,1,0,unk,0,61.3348,-156.1517,,age not estimated/recorded at capture,,
2011,2011047,m,1,8.00,Tundra,1,61.2718,-156.3175,searching,1,05/19/11,05/20/11,05/20/11,1,0,mort,1,61.3100,-156.3270,wolf,*circling back and searching for calf as we left,,
2011,2011048,m,1,8.00,Tundra,1,61.1227,-156.6070,yes,1,05/19/11,05/20/11,05/22/11,3,2,mort,1,61.1437,-156.5047,bear,,,
2011,2011049,m,1,8.00,Kemuk,0,59.1710,-158.2087,unk,1,05/20/11,05/21/11,09/28/11,131,130,unk,0,,,,,,
2011,2011050,unk,2,6.00,Kemuk,0,59.1795,-158.1625,yes,1,05/20/11,05/21/11,12/21/11,215,214,unk,0,,,,heading that way; age not estiunkated at capture,,
2011,2011051,f,0,8.00,Kemuk,0,59.1747,-158.1572,yes,2,05/19/11,05/21/11,04/02/12,319,317,unk,0,,,,,,
2011,2011052,unk,2,7.50,Kemuk,0,59.1845,-158.0448,yes,1,05/20/11,05/21/11,10/18/11,151,150,unk,0,,,,,,
2011,2011053,unk,2,9.00,Kemuk,0,59.1908,-157.9575,yes,1,05/20/11,05/21/11,09/28/11,131,130,unk,0,,,,,,
2011,2011054,unk,2,6.50,Kemuk,0,59.2012,-157.9563,yes,1,05/20/11,05/21/11,10/18/11,151,150,unk,0,,,,,,
2011,2011055,f,0,10.50,Kemuk,0,59.2347,-157.7632,yes,2,05/19/11,05/21/11,05/22/11,3,1,mort,1,59.2322,-157.7303,unk pred,,,
2011,2011056,unk,2,8.00,Kemuk,0,59.5270,-157.5362,yes,1,05/20/11,05/21/11,05/21/11,1,0,mort,1,59.5245,-157.5445,unk pred,,,
2011,2011057,m,1,8.00,Kemuk,0,59.5665,-157.6423,yes,1,05/20/11,05/21/11,05/21/11,1,0,unk,0,,,,,,
2011,2011058,f,0,8.00,Kemuk,0,59.5548,-157.7768,yes,2,05/19/11,05/21/11,10/18/11,152,150,unk,0,,,,,,
2011,2011059,unk,2,,Kemuk,0,59.5805,-157.7392,yes,1,05/20/11,05/21/11,10/18/11,151,150,unk,0,,,,,,
2011,2011060,m,1,9.25,Kemuk,0,59.6313,-157.7127,returning,2,05/19/11,05/21/11,10/18/11,152,150,unk,0,,,,heading back toward calf 100yds,,
2011,2011061,f,0,6.00,Kemuk,0,59.5682,-157.7002,returning,1,05/20/11,05/21/11,05/21/11,1,0,mort,1,59.5877,-157.6960,bear,heading that way,,
2011,2011062,f,0,8.00,Kemuk,0,59.4898,-157.7127,returning,1,05/20/11,05/21/11,05/24/11,4,3,mort,1,59.5083,-157.7553,unk cause,heading that way,,
2011,2011063,f,0,8.00,Kemuk,0,59.1718,-158.1923,yes,1,05/20/11,05/21/11,06/02/11,13,12,unk,0,,,,,,
2011,2011064,f,0,8.75,Kemuk,0,59.1748,-158.2363,yes,1,05/21/11,05/22/11,07/12/11,52,51,unk,0,,,,,,
2011,2011065,unk,2,8.00,Kemuk,0,59.1765,-158.2212,yes,1,05/21/11,05/22/11,10/18/11,150,149,unk,0,,,,,,
2011,2011066,m,1,7.50,Kemuk,0,59.1750,-158.1230,returning,1,05/21/11,05/22/11,05/23/11,2,1,mort,1,59.1498,-158.0978,drowned,heading that way,,
