ID,Year ,Day Born,DaysAlive,Status
0802-2021,2021,5/19/21,3,0
1207-2022,2022,5/18/22,4,0
1402-2022,2022,5/16/22,3,0
1403-2022,2022,5/19/22,3,0
1411-2022,2022,5/18/22,4,0
1417-2022,2022,5/19/22,3,0
1521-2022,2022,5/15/22,1,1
1606-2022,2022,5/18/22,4,0
1611-2021,2021,5/22/21,3,0
1611-2022,2022,5/16/22,3,0
1613-2021,2021,5/18/21,3,0
1613-2022,2022,5/20/22,3,0
1617-2022,2022,5/16/22,0,1
1625-2021,2021,5/22/21,3,0
1625-2022,2022,5/20/22,2,1
1704-2022,2022,5/17/22,2,1
1705-2021,2021,5/17/21,3,0
1713-2022,2022,5/19/22,3,0
1716-2022,2022,5/19/22,3,0
1718-2021,2021,5/13/21,4,0
1801-2021,2021,5/18/21,3,0
1805-2021,2021,5/17/21,1,1
2001-2021,2021,5/12/21,4,0
2005-2021,2021,5/16/21,3,0
2006-2022,2022,5/17/22,3,0
2011-2022,2022,5/19/22,1,1
2012-2022,2022,5/19/22,3,0
2013-2021,2021,5/18/21,0,1
2014-2022,2022,5/19/22,3,0
2016-2022,2022,5/16/22,3,0
2017-2022,2022,5/18/22,4,0
2020-2022,2022,5/20/22,3,0
2021-2022,2022,5/18/22,4,0
2023-2021,2021,5/17/21,2,1
2023-2022,2022,5/18/22,4,0
2025-2022,2022,5/19/22,0,1
2026-2022,2022,5/18/22,4,0
2036-2021,2021,5/16/21,3,0
2037-2022,2022,5/19/22,3,0
2039-2021,2021,5/17/21,4,0
2109-2022,2022,5/17/22,2,1
2110-2022,2022,5/20/22,0,1
2111-2022,2022,5/18/22,2,1
