Population,Survival,L95,U95,records,Year
West,0.69,0.59,0.8,74,2011
West,0.69,0.58,0.84,49,2012
West,0.91,0.84,1,46,2013
West,0.79,0.6,1,14,2014
West,0.56,0.41,0.75,34,2017
West,0.33,0.22,0.51,42,2018
West,0.46,0.33,0.63,46,2019
West,0.59,0.42,0.84,22,2021
East,0.33,0.07,1,3,2011
East,0.36,0.26,0.52,55,2012
East,0.35,0.25,0.49,60,2013
East,0.78,0.66,0.93,37,2014
East,0.19,0.09,0.39,32,2017
East,0.34,0.22,0.53,38,2018
East,0.3,0.18,0.49,37,2019
East,0.55,0.42,0.74,38,2020
East,0.61,0.42,0.88,18,2021
Central,0.68,0.58,0.79,77,2011
Central,0.52,0.43,0.62,104,2012
Central,0.59,0.51,0.7,106,2013
Central,0.78,0.68,0.91,51,2014
Central,0.38,0.28,0.52,66,2017
Central,0.34,0.25,0.46,80,2018
Central,0.39,0.29,0.51,83,2019
Central,0.55,0.42,0.74,38,2020
Central,0.61,0.49,0.78,44,2021
