"time","surv","lower","upper","n.risk","n.event","n.censor"
1.00001,0.891472868217054,0.861015724030941,0.923007388351229,387,42,6
2.00001,0.804692323523359,0.765983225058624,0.845357593161213,339,33,2
3.00001,0.762340095969498,0.720845030261719,0.806223803348937,304,16,0
4.00001,0.712046825749288,0.66801529536498,0.758980648463481,288,19,0
5.00001,0.677635640861776,0.632278061160932,0.726247026384287,269,13,0
6.00001,0.656459527084845,0.610434515559492,0.705954692462766,256,8,0
7.00001,0.632636399085798,0.58598759653065,0.682998779868051,248,9,1
8.00001,0.61402944617151,0.566975919202399,0.664987961562966,238,7,0
9.00001,0.595422493257222,0.548040972118627,0.646900439042187,231,7,0
10.00001,0.449225006073529,0.40178318898607,0.50226866532427,224,55,169
